disease,overview ,causes,symptoms ,precautions ,home_treatment ,awareness ,who_guidelines
Acute Sinusitis,"Acute sinusitis is an inflammation and swelling of the tissues lining the sinuses (air-filled spaces inside the nose and face) that typically lasts for less than four weeks. This swelling blocks the sinuses, preventing mucus from draining and leading to a buildup that causes pressure and discomfort. The condition is most often caused by the common cold (a viral infection)."," Most cases (viral acute sinusitis) are caused by **viral upper respiratory infections**, such as the **common cold**. Sometimes, the blockage leads to a secondary **bacterial infection** (acute bacterial sinusitis). Other risk factors include: **allergies** (hay fever), **nasal polyps** or tumors, a **deviated nasal septum** or other anatomical issues, **smoking** or exposure to secondhand smoke, and a **weakened immune system**.","Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)"," Maintain good hygiene, especially **washing hands often**, to avoid catching colds and other respiratory infections. **Manage allergies** with appropriate treatment. **Avoid cigarette smoke** and polluted air. **Use a clean humidifier** or vaporizer to add moisture to dry air. Stay current on recommended **vaccines** (e.g., flu, pneumococcal).","Use a **saline nasal spray or nasal rinse** (like a Neti pot) to flush out mucus and relieve congestion. Apply a **warm compress** over the nose and forehead to ease facial pain. **Inhale steam** from a hot shower or a bowl of hot water. **Drink plenty of fluids** (especially hot ones like tea or water with lemon) to thin mucus. Get **extra rest**. Over-the-counter decongestants and pain relievers (acetaminophen, ibuprofen) can help with symptoms, but do not use medicated nasal decongestant sprays for more than 3-5 days to avoid rebound congestion.","Most acute sinusitis is viral and resolves on its own within 7 to 10 days; **antibiotics are ineffective** for viral cases. Seek medical attention if symptoms **last longer than 10 days** without improvement, if symptoms initially improve then **get worse** ('double-sickening'), or if you have **severe symptoms** like high fever, confusion, stiff neck, or vision changes (which may indicate a serious complication).","The World Health Organization (WHO) and other global health bodies emphasize that acute sinusitis is mostly viral and self-limiting. They recommend **symptomatic relief** (saline rinses, pain relievers) and advocate for **watchful waiting** before prescribing antibiotics to limit unnecessary use, which contributes to antimicrobial resistance. Antibiotics are generally reserved for cases strongly suggesting a bacterial infection (e.g., severe symptoms or symptoms lasting over 10 days)."
Adenoid Cystic Carcinoma,"A rare form of cancer that most commonly develops in the salivary glands but can also occur in other areas, such as the throat, tear glands, or uterus.","The exact cause is unknown. It is not associated with smoking, alcohol use, or viral infections. It involves a specific genetic translocation in the tumor cells.","Symptoms depend on the location. In salivary glands, it may be a slow-growing lump with pain or facial numbness. In the airway, it can cause breathing or swallowing difficulties.",There are no known precautions to prevent this rare cancer as the cause is not understood.,DISCLAIMER: Cancer requires professional medical treatment. There are NO effective home treatments. Supportive care at home focuses on managing symptoms and side effects of treatment as guided by the medical team.,"This cancer is known for its slow growth but also for its high likelihood of recurring years later and spreading along nerves. Long-term, diligent follow-up with a medical team is crucial.","WHO and IARC conduct research and surveillance on all cancers, including rare types. The focus is on improving diagnostic methods, understanding the genetic basis of the disease, and developing more effective treatments."
Alcohol Intoxication,"Alcohol intoxication is a temporary physiological and psychological state caused by consuming ethanol (alcohol) faster than the liver can process it. This results in an elevated blood alcohol concentration (BAC), which impairs brain function, coordination, and judgment. Severe intoxication can lead to alcohol poisoning, a life-threatening medical emergency.","The primary cause is the consumption of alcoholic beverages. The severity of intoxication is influenced by the amount and speed of alcohol consumption, the individual's body weight, gender, age, metabolism, food intake before drinking, and overall health condition.","Slurred speech, impaired coordination, confusion","stop alcohol consumption,consult doctor,medication,Supportive care, ensuring hydration, monitoring vital signs, prevention of complications","For mild intoxication, the only cure is time for the body to metabolize the alcohol. Stop all alcohol consumption. Drink water to prevent dehydration. Rest in a safe place. If someone is vomiting, help them sit up or lie on their side to prevent choking. **Note: Unconsciousness, slow breathing, or seizures are signs of alcohol poisoning and require immediate emergency medical attention (call an ambulance). Do not leave an unconscious person alone.**","Alcohol intoxication significantly impairs judgment and increases the risk of accidents, injuries, violence, and risky behaviors. Binge drinking is a major cause of life-threatening alcohol poisoning. Long-term harmful use of alcohol can lead to chronic diseases, including liver damage, heart disease, and cancer, as well as alcohol dependence.","WHO identifies the harmful use of alcohol as a leading risk factor for poor health globally, contributing to millions of deaths each year. It promotes policies to reduce alcohol-related harm, such as increasing taxes on alcoholic beverages, restricting alcohol advertising, and enforcing drink-driving laws. WHO's global strategy aims to reduce the harmful use of alcohol by providing guidance to countries on prevention and treatment policies and interventions."
Amyloidosis,"A rare disease that occurs when an abnormal protein called amyloid builds up in organs and tissues, interfering with their normal function.",It can be a primary condition or secondary to other chronic inflammatory diseases (like rheumatoid arthritis) or cancers (like multiple myeloma). Some types are hereditary.,"Symptoms are diverse and depend on which organs are affected. They can include severe fatigue, weight loss, swelling in the legs, shortness of breath, and numbness in the hands or feet.","For secondary amyloidosis, effective treatment of the underlying inflammatory disease is the best precaution. For hereditary types, genetic counseling may be recommended.","DISCLAIMER: Amyloidosis is a serious, complex disease requiring specialized medical care. Home care is purely supportive. Following a low-salt diet to manage swelling, eating small, frequent meals if appetite is poor, and balancing rest with gentle activity, as advised by a doctor.","Amyloidosis can affect many different organs, including the heart, kidneys, liver, and nerves, and can be life-threatening. Early diagnosis and treatment to stop the production of the amyloid protein are key.","WHO does not have specific guidelines for amyloidosis due to its rarity. It is managed under the umbrella of diseases affecting specific organs (e.g., heart failure, kidney disease) and within hematology/oncology if related to a blood cancer."
Anaemia,"Anaemia is a medical condition where the blood has a lower than normal number of red blood cells or a reduced amount of hemoglobin. Hemoglobin is the protein in red blood cells that carries oxygen from the lungs to the rest of the body. Without enough oxygen, the body cannot function properly.","The most common cause is iron deficiency. Other causes include deficiencies in vitamin B12 or folate, significant blood loss (from injury or heavy menstruation), chronic diseases (like kidney disease or cancer), genetic disorders (such as sickle cell anemia or thalassemia), and bone marrow problems.","Fatigue, weakness, pale skin, shortness of breath","Eat a balanced diet rich in iron, vitamin B12, and folate. Include foods high in Vitamin C (like citrus fruits) to help absorb iron. Avoid drinking tea or coffee with meals, as they can hinder iron absorption. Get regular health check-ups to monitor blood levels, especially for pregnant women and those with chronic conditions.","Avoid drinking tea and coffee immediately after meals as the tannin present in these interferes in the absorption of iron from the food. Take freshly prepared apple juice an hour before meals or just before retiring for the night. For proper absorption of the juice, remember the stomach should be relatively empty when you have the juice and also do not take anything for about half an hour after the juice. Juice of beetroot taken 1-2 times daily is an excellent remedy for anaemia especially for children and teenagers. You may combine apple and beetroot for the juice. Mix 1 tablespoon amla juice with a ripe mashed banana and eat 2-3 times a day. Have a ripe banana with 1 tablespoon honey, 1-2 times a day. Soak 8-10 almonds (badam) and 1 teaspoon rice overnight. Remove outer skin of almonds and grind to a fine paste. Boil with 1½ cups of milk and a pinch of turmeric powder (haldi). Sweeten with sugar and drink for a fedays, once a day. Soak 10-12 currants (munakas) in water overnight. Remove seeds and eat them. Have for 2-4 weeks. Have spinach juice of 125 gm spinach everyday, for 2-3 weeks. Foods rich in iron are - honey, almonds, bananas, apricots (khurmani), raisins (kishmish), fenugreek (methi) leaves, fenugreek seeds (methi daana), lettuce or salad leaves, onion, spinach (paalak), grapes, tomatoes, carrots, gooseberry (amla), beetroots (chokunder), apples, pomegranate (anaar). Have plenty of them if you are anaemic.","Anaemia is a major global health concern, particularly affecting women and children. It is not just feeling tired; it can lead to serious health complications if left untreated. Most cases of anaemia are preventable and treatable through proper nutrition and medical care. Always consult a doctor for diagnosis and treatment instead of self-medicating with supplements.","WHO identifies anaemia as a serious global public health problem. It aims to reduce the prevalence of anaemia in women of reproductive age by 50%. WHO recommends strategies like dietary diversification, food fortification with iron and folic acid, and daily iron supplementation for pregnant women and adolescent girls in high-prevalence areas. They also emphasize controlling infections that can cause anaemia, such as malaria and worm infestations."
Anal Fissure,"A small tear in the thin, moist tissue (mucosa) that lines the anus.","Commonly caused by passing large or hard stools (constipation). It can also be caused by chronic diarrhea, straining during childbirth, or inflammatory bowel disease.","Sharp pain during and after bowel movements, which can last for several hours. Bright red blood on the toilet paper or in the toilet bowl.","The best precaution is to prevent constipation. Eat a high-fiber diet, drink plenty of fluids, and get regular exercise. Avoid straining during bowel movements.",DISCLAIMER: Persistent symptoms should be evaluated by a doctor. These measures help healing and prevent recurrence. Taking warm baths (sitz baths) for 10-20 minutes several times a day to relax the anal sphincter. Applying petroleum jelly to the area. Using over-the-counter stool softeners.,"Most anal fissures heal within a few weeks with home care. However, fissures that do not heal may be considered chronic and require medical treatment, such as prescription creams or surgery.","WHO promotes healthy diets rich in fiber and adequate fluid intake as part of its general recommendations for preventing non-communicable diseases, which also helps prevent conditions like constipation and anal fissures."
Angle-Closure Glaucoma,"A type of glaucoma that occurs when the drainage angle in the eye (where the iris meets the cornea) becomes blocked, preventing aqueous humor from draining. This causes a rapid, severe increase in eye pressure.","Can be triggered by the pupil dilating, which can cause the iris to bunch up and block the drainage angle. People with ""narrow angles"" are anatomically predisposed.","An acute attack causes sudden, severe eye pain, blurred vision, halos around lights, headache, nausea, and vomiting. It is a medical emergency.",People with a family history or those identified as having narrow angles during an eye exam can undergo a preventative laser procedure (iridotomy) to create a small hole in theiris for fluid to drain.,DISCLAIMER: Acute angle-closure glaucoma is a medical emergency that can cause blindness. Go to an emergency room immediately. There are NO home treatments for an acute attack.,"This condition can cause permanent vision loss very quickly if not treated immediately. It is crucial to recognize the symptoms and seek emergency care. A chronic form also exists, which is often asymptomatic.","WHO's ""World Report on Vision"" aims to increase access to eye care. This includes promoting regular eye exams, which can identify individuals at risk for angle-closure glaucoma before an acute attack occurs, allowing for preventative treatment."
Anorexia Nervosa,"An eating disorder characterized by an abnormally low body weight, an intense fear of gaining weight, and a distorted perception of weight or shape.","A complex combination of biological, psychological, and environmental factors. Genetic predisposition, personality traits like perfectionism, and societal pressure for thinness all play a role.","Extreme weight loss, refusal to eat, intense fear of weight gain, distorted body image, and severe restriction of food intake. Physical symptoms include fatigue, dizziness, and hair loss.","Promoting a healthy body image, building self-esteem, discouraging dieting, and having open family discussions about healthy eating habits can be protective factors.","DISCLAIMER: Anorexia Nervosa is a serious psychiatric illness requiring a multidisciplinary medical team (doctors, therapists, dietitians). Home support is crucial but must be guided by professionals. Encouraging regular meal patterns without pressure, providing emotional support, and participating in family-based therapy.",This disorder has the highest mortality rate of any psychiatric illness due to medical complications from starvation and suicide. Early and intensive treatment provides the best chance for recovery.,WHO recognizes eating disorders as serious mental health conditions. Their Mental Health Action Plan advocates for integrating mental health services into primary care to improve early detection and access to evidence-based treatments.
Antimicrobial Drugs Poisoning,"Harm or toxicity caused by taking an excessive dose of an antimicrobial drug (like an antibiotic, antiviral, or antifungal) or by having an adverse reaction to a normal dose.","Can be accidental (e.g., a child ingesting medication) or intentional. It can also occur if kidney or liver function is impaired, preventing the body from clearing the drug normally.","Symptoms vary widely depending on the drug but can include nausea, vomiting, abdominal pain, rash, dizziness, seizures, or damage to the kidneys (nephrotoxicity) or liver (hepatotoxicity).",Store all medications safely out of reach of children. Take medications only as prescribed by your doctor and never exceed the recommended dose. Be aware of potential side effects.,DISCLAIMER: This is a medical emergency. Contact your local poison control center or go to the nearest emergency room immediately. Do not induce vomiting unless instructed to do so. Bring the medication bottle with you.,"The severity of poisoning depends on the drug, the amount taken, and the person's health. Prompt medical intervention is critical to manage the toxicity and prevent permanent organ damage.","WHO's program on the Rational Use of Medicines aims to ensure patients receive medications appropriate to their clinical needs, in doses that meet their own individual requirements. This includes preventing overuse and incorrect use that can lead to toxicity. WHO also promotes the strengthening of poison control centers."
Anxiety,"Anxiety is the body's natural response to stress, characterized by feelings of fear or apprehension about what's to come. While occasional anxiety is a normal part of life, anxiety disorders involve excessive and persistent worry that is intense enough to interfere with daily activities. These disorders include conditions like Generalized Anxiety Disorder (GAD), panic disorder, and social anxiety disorder.","The exact causes are a complex mix of genetic and environmental factors. Key contributors include a family history of mental health conditions, imbalances in brain chemistry (neurotransmitters), exposure to stressful or traumatic life events, underlying health issues (like thyroid or heart problems), and substance use or withdrawal.","Excessive worrying, restlessness, increased heart rate, panic attacks","Managing anxiety involves lifestyle changes and proactive care. Regular physical exercise, a balanced diet, and adequate sleep are fundamental. Limiting caffeine and alcohol can also help. Practicing stress-reduction techniques like mindfulness, meditation, and deep breathing can prevent symptoms from escalating. Maintaining strong social connections provides crucial support.","Therapy (cognitive-behavioral therapy, psychotherapy), medications (antidepressants, anti-anxiety drugs)","Anxiety disorders are real, common, and treatable medical conditions, not a sign of personal weakness. Openly discussing anxiety helps to reduce stigma and encourages people to seek help. Support from family, friends, and colleagues is vital for recovery. Effective treatments, including psychotherapy (like Cognitive Behavioral Therapy - CBT) and medication, are widely available.","The WHO recognizes anxiety disorders as a leading cause of disability worldwide and a major contributor to the global burden of disease. It advocates for integrating mental health services into primary healthcare to improve accessibility. The WHO's Mental Health Action Plan promotes mental well-being, prevention of mental disorders, and community-based care. It also emphasizes the effectiveness of scalable psychological interventions that can be delivered by trained non-specialists."
Arthritis,"Arthritis is a general term for conditions that cause inflammation and swelling of one or more joints. There are over 100 different types of arthritis, with the most common being osteoarthritis (OA), which involves wear-and-tear damage to joint cartilage, and rheumatoid arthritis (RA), an autoimmune disease where the body's immune system attacks the joints. It leads to pain, stiffness, and reduced mobility.","The cause varies by type. Osteoarthritis is primarily caused by mechanical wear and tear on joints over time, with risk factors like age, obesity, and previous injury. Rheumatoid arthritis is an autoimmune disorder where genetic and environmental factors trigger the immune system to attack joint tissues. Other types, like gout, are caused by the buildup of uric acid crystals in a joint.","Joint pain, stiffness, swelling","exercise,use hot and cold therapy,try acupuncture,massage","Self-care focuses on pain relief and maintaining function. Applying heat (like a warm compress) can ease stiffness, while cold packs can reduce swelling and numb acute pain. Gentle stretching and range-of-motion exercises help keep joints flexible. Over-the-counter anti-inflammatory creams and assistive devices (like canes or jar openers) can also make daily activities easier. A balanced, anti-inflammatory diet may also help manage symptoms.","Arthritis is a leading cause of disability and is not just a disease of old age; it can affect people of all ages, including children. While there is no cure for most types, effective treatments and management strategies exist that can significantly reduce pain and improve quality of life. Early diagnosis is crucial to prevent irreversible joint damage. It's an often invisible illness, and the associated fatigue and pain are not always apparent to others.","The WHO classifies asthma as a major noncommunicable disease and the most common chronic disease among children. The organization works to improve global access to diagnosis and treatment. WHO's strategy focuses on strengthening primary health care to manage chronic respiratory diseases and ensuring the availability and affordability of essential asthma medicines, particularly inhaled corticosteroids and bronchodilators. Their goal is to reduce the global burden of asthma by preventing deaths and reducing hospital admissions."
Asthma,"Asthma is a chronic respiratory disease that affects the airways of the lungs. It causes the airways to become inflamed and narrow, leading to the production of extra mucus. This makes it difficult to breathe and can trigger coughing, wheezing, and shortness of breath. The severity of asthma varies from person to person and can range from a minor nuisance to a life-threatening emergency.","The exact cause of asthma is unknown, but it is believed to be a combination of genetic predisposition and environmental factors. Asthma symptoms are often triggered by specific substances or situations. Common triggers include airborne allergens like pollen and dust mites, respiratory infections (like the common cold), physical activity, cold air, air pollutants and irritants such as smoke, and certain medications.","Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Effective management involves identifying and avoiding personal triggers. It is crucial to work with a doctor to create an 'Asthma Action Plan' for managing symptoms and responding to attacks. Use prescribed long-term controller medications consistently to reduce airway inflammation, and always carry a quick-relief (rescue) inhaler. Regular check-ups and monitoring lung function with a peak flow meter are also important preventive measures.","Mix 1 teaspoon honey with ½ teaspoon cinnamon (dalchini) powder and have at night before going to bed. Boil carom seeds (ajwain) in water and inhale the steam. Boil 8-10 flakes of garlic (lasan) in ½ cup of milk. Have this every night. Gives excellent results in early stages of asthma. Add a handful of drumstick leaves (sahijan) to 1 cup water. Boil. Simmer on loflame for 3-4 minutes. Cool and strain. Add salt, pepper and lemon juice to taste. Have every day, once or twice a day. wAn expectorant and a very effective remedy for asthma is prepared by boiling 6 cloves (laung) in 3 tablespoons of water. Take 1 teaspoon of this decoction with a little honey, thrice daily. Mix ¼ teaspoon asafetida (hing), 2 teaspoon honey, ½ teaspoon juice from betel leaf (paan ka patta), ½ teaspoon white onion juice. Have it 2-3 times a day. To take out juice from betel leaf, Clove flowers crush to a paste and squeeze through a clean muslin cloth. For onion juice, grate the onion and squeeze through a clean muslin cloth. Mix equal amounts of fresh ginger (adrak) juice, honey & pomegranate (anaar) juice. Take 1 tablespoon, 1-2 times a day. Figs (anjeer) are known to give relief by draining the phlegm (balgam). Take 3-4 dry figs, wash them well with warm water. Soak overnight in a cup of water. Eat them first thing in the morning and also drink the water. Do this for at least 2 months.","Asthma is a manageable chronic condition, not a contagious disease. With proper diagnosis and treatment, people with asthma can lead normal, active lives. It is crucial to understand that an asthma attack can be a life-threatening event. Over-reliance on rescue inhalers is a sign that the asthma is not well-controlled and requires a doctor's review. Improving air quality is a key public health goal to reduce the burden of asthma.","The WHO classifies asthma as a major noncommunicable disease and the most common chronic disease among children. The organization works to improve global access to diagnosis and treatment. WHO's strategy focuses on strengthening primary health care to manage chronic respiratory diseases and ensuring the availability and affordability of essential asthma medicines, particularly inhaled corticosteroids and bronchodilators. Their goal is to reduce the global burden of asthma by preventing deaths and reducing hospital admissions."
